repo_full_name,sha,parent_shas,branch,author_name,commit_day,commit_hour,message_type,message_argument,message_message,nomenclature
Samuel-Chapuis/CS-NFTM-Fork,cd9614e3052095d4d26f92e1a8ca1eb060a0589e,22c268669a903e17c328fc420053e5a84f8d29b9,TestAlex,aleexx02,2025-12-11,10,,,UPDATE main.ipynb,0
Samuel-Chapuis/CS-NFTM-Fork,6296690375a9c5c47cb110804fab94d57a09865f,22c268669a903e17c328fc420053e5a84f8d29b9,main,Lucia Fernandez,2025-12-11,17,update,reccurent_cnn -results  in ruche,Here are the results from the Ruche,0
Samuel-Chapuis/CS-NFTM-Fork,22c268669a903e17c328fc420053e5a84f8d29b9,c29ff5d6e57e53bec8c72e90e7131645368c943a,main,aleexx02,2025-12-10,13,,,UPDATE Recurrent_CNN_1D_Burgers.ipynb,0
Samuel-Chapuis/CS-NFTM-Fork,c29ff5d6e57e53bec8c72e90e7131645368c943a,6b965997e05f13da78eb76af0513de3820418ba2,main,aleexx02,2025-12-10,10,,,ADD in NFTM/Data/ 100 trajectories per viscosity value,0
Samuel-Chapuis/CS-NFTM-Fork,6b965997e05f13da78eb76af0513de3820418ba2,949ecc59cbd3e7e7dbf1dbfdef3384e4a3c97885;f953ce5625d1ebb806c1f1da465543a4156fd176,main,aleexx02,2025-12-05,13,,,//github.com/Samuel-Chapuis/NFTM,0
Samuel-Chapuis/CS-NFTM-Fork,949ecc59cbd3e7e7dbf1dbfdef3384e4a3c97885,2c8b1d44e3617492f16d1b71663f41e2235e864b,main,aleexx02,2025-12-05,13,,,update main.tex,0
Samuel-Chapuis/CS-NFTM-Fork,f953ce5625d1ebb806c1f1da465543a4156fd176,8cc7f632fdb4467306ebcd879f9efba95726fb22,main,Lucia Fernandez,2025-12-05,12,update,main: brain architecture,,0
Samuel-Chapuis/CS-NFTM-Fork,8cc7f632fdb4467306ebcd879f9efba95726fb22,5d836fb4b3f880eff4eb5fc0a67ba539e6381751,main,Samuel,2025-12-05,10,fix,dataloading,use diffrent nu values,1
Samuel-Chapuis/CS-NFTM-Fork,5d836fb4b3f880eff4eb5fc0a67ba539e6381751,03c3ecc5dbf3551a10564dc85f3110026c4100fe;2c8b1d44e3617492f16d1b71663f41e2235e864b,main,Samuel,2025-12-05,9,,,//github.com/Samuel-Chapuis/NFTM,0
Samuel-Chapuis/CS-NFTM-Fork,03c3ecc5dbf3551a10564dc85f3110026c4100fe,a3c7d25392669c0911ca5b8970c1e79825411716,main,Samuel,2025-12-05,9,fix,dataloading,test/train set,1
Samuel-Chapuis/CS-NFTM-Fork,2c8b1d44e3617492f16d1b71663f41e2235e864b,fd42f07607dd52ad5b235df92bf46a1e32535ba0,main,aleexx02,2025-12-04,17,,,update main.tex,0
Samuel-Chapuis/CS-NFTM-Fork,fd42f07607dd52ad5b235df92bf46a1e32535ba0,0581ff3c4f22f0c8205c5fe9c48fdbb87062d648,main,aleexx02,2025-12-04,17,,,ADD deprecated/Recurrent_CNN_1D_Burgers.ipynb,0
Samuel-Chapuis/CS-NFTM-Fork,0581ff3c4f22f0c8205c5fe9c48fdbb87062d648,daf9e65df20e3e271f547bd29800f07997086e2a;a3c7d25392669c0911ca5b8970c1e79825411716,main,aleexx02,2025-12-03,16,,,//github.com/Samuel-Chapuis/NFTM,0
Samuel-Chapuis/CS-NFTM-Fork,daf9e65df20e3e271f547bd29800f07997086e2a,ef846972def61987f2b28ec2cc70b95db78f1206,main,aleexx02,2025-12-03,16,,,add report,0
Samuel-Chapuis/CS-NFTM-Fork,ef846972def61987f2b28ec2cc70b95db78f1206,47e57e11cacf18271117a85e1013b97142afb977,main,aleexx02,2025-12-03,16,,,add report workspace for lattex,0
